cluster,average_rating,book_id,original_publication_year,pages,ratings_count,young-adult,fantasy,nonfiction,romance,adult,science-fiction,contemporary,mystery,classics,historical-fiction,keywords,cluster_name
0,3.999849315068493,4831.795890410959,1994.1780821917807,399.26438356164385,64469.34657534247,0.20136986301369864,0.6986301369863014,0.0013698630136986301,0.0136986301369863,0.026027397260273973,0.952054794520548,0.015068493150684932,0.08904109589041095,0.1232876712328767,0.038356164383561646,"hitchhiker, interstellar, science author, robot, jedi, solar, galactic, skywalker, alien planet, artificial",Galactic Odyssey: A Cosmic Journey Through the Stars and Beyond
1,3.9345993031358883,4824.976771196283,1987.0708478513357,398.8664343786295,63108.46573751452,0.13588850174216027,0.06155632984901278,0.0313588850174216,0.18234610917537747,0.11614401858304298,0.005807200929152149,0.0627177700348432,0.11033681765389082,0.1986062717770035,0.9570267131242741,"young unfold, tudor, viii, boleyn, mother ambitious, hitler, exquisitely, civil woman, auschwitz, philippa",The Tudor Legacy: A Dark and Ambitious Historical Odyssey
2,3.7490893169877406,4956.495621716287,2003.6094570928196,344.3782837127846,49420.22767075306,0.06304728546409807,0.0595446584938704,0.0017513134851138354,0.1786339754816112,0.1436077057793345,0.0035026269702276708,0.9439579684763573,0.11033274956217162,0.03677758318739054,0.06830122591943957,"palahniuk, bret, start fictional, away debut, beach family, picoult, jodi, auster, zadie, author daughter",Literary Fiction of Contemporary American Family Dynamics
3,3.954800693240901,4969.240901213171,2006.9202772963604,326.2357019064125,57275.76083188908,0.8388214904679376,0.038128249566724434,0.0,0.8648180242634316,0.02772963604852686,0.01733102253032929,0.8752166377816292,0.08665511265164645,0.01733102253032929,0.029462738301559793,"guy meet, kiss good, cammie, genovia, dessen, hide school, levithan, pretty secret, college forever, mia",Royal Romances of High School and Beyond
4,3.955093572009764,5299.824247355574,1998.7778681855166,386.2685109845403,35454.11391375102,0.04963384865744508,0.060211554109031735,0.010577705451586655,0.0024410089503661514,0.04149715215622457,0.04882017900732303,0.026037428803905614,0.9560618388934092,0.06753458096013018,0.05614320585842148,"inspector, millhone, bosch, lapd, poirot, grisly, lindsay, reacher, rapp, scarpetta",Detective Investigations of Dark Complexity and Moral Ambiguity
5,4.135653333333333,5626.24,2005.232,388.056,41936.968,0.005333333333333333,0.8533333333333334,0.0,0.968,0.584,0.008,0.037333333333333336,0.042666666666666665,0.005333333333333333,0.144,"woman immortal, brotherhood, anita, shapeshifter, vamp, fae, kresley, werewolf, crawfield, paranormal",Paranormal Romantic Fantasies of Eternal Allure
6,3.9850833333333333,5200.5142857142855,1989.9130952380951,347.6154761904762,34731.747619047615,0.013095238095238096,0.0035714285714285713,0.969047619047619,0.004761904761904762,0.02023809523809524,0.0011904761904761906,0.0035714285714285713,0.004761904761904762,0.04404761904761905,0.005952380952380952,"nonfiction, memoir man, cookbook, management, biography, autobiography, anecdote, ceo, thinker, finance",Business Insights of a Visionary Life
7,4.101689497716895,4605.021308980213,1998.642313546423,340.1339421613394,94902.8203957382,0.9208523592085236,0.9117199391171994,0.0106544901065449,0.0091324200913242,0.0106544901065449,0.0776255707762557,0.0136986301369863,0.1171993911719939,0.0928462709284627,0.0532724505327245,"thunderclan, redwall, discworld, morpork, pratchett, lemony, percy, wizarde, hogwart, ankh",Discworld Chronicles of Fantasy and Adventure in a Shared World
8,4.049884297520661,5148.462809917355,1950.7669421487603,319.3090909090909,37158.277685950416,0.01652892561983471,0.009917355371900827,0.9355371900826446,0.0049586776859504135,0.02809917355371901,0.0,0.001652892561983471,0.003305785123966942,0.12396694214876033,0.008264462809917356,"spirituality, believer, growth, inspiring, candid, nietzsche, jesus, autobiography, help spiritual, thinker",Inspirational Spiritual Journeys of Self-Discovery and Faith
9,4.0561850649350655,4525.457792207792,2009.0616883116884,378.0779220779221,72135.35227272728,0.9415584415584416,0.9545454545454546,0.0,0.974025974025974,0.0,0.125,0.006493506493506494,0.06655844155844155,0.0,0.05032467532467533,"zoey, stefan, faery, shadowhunter, stackhouse, werewolf, yuki, lissa, moroi, dragomir",Paranormal Love Bites of Immortal Youth
